Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,low,10,40,0.2,2,12,0.1,0.1,7
C.J. Spiller,KC ,7.9,29,0,4.1,31.1,0.2,0.2,6.7
,high,16,63,0.1,5.4,39.3,0.3,0.2,9.5
,low,3,9,0,3,22,0,0.2,4.9
Khalfani Muhammad,TEN ,10,36.3,0.2,1.9,14.4,0.1,0.1,6.7
,high,11,38,0.2,2,14.8,0.1,0.1,8.3
,low,8.9,34.5,0.2,1.8,14,0.1,0.1,7
Derek Watt,LAC ,3.9,15.9,0.2,3.5,38.6,0,0,6.4
,high,8.7,37.6,0.5,4.5,43.9,0,0,12.1
,low,1,2,0,2,30,0,0,3.8
Jalston Fowler,TEN ,6,20.1,0.2,2.7,26.7,0.1,0,6.3
,high,11,39.4,0.3,5,45,0.2,0,8
,low,2,4,0,1,15,0,0,4.3
Bobby Rainey,BAL ,9.1,36.8,0.2,2.5,15,0,0.2,6
,high,15.1,61.6,0.4,5,30,0,0.2,8.2
,low,3,12,0,0,0,0,0.2,4.2
Akeem Hunt,HOU ,7.7,36.4,0.2,2.1,14,0,0.2,5.7
,high,9.3,42.7,0.3,2.2,17.7,0,0.2,9.9
,low,5,29,0,2,12,0,0.2,4.1
Jonathan Grimes,JAC ,5.5,28,0.1,3.5,26,0.1,0.2,5.6
